skills,salary
"HTML,CSS,PHP,MySQL,Python,PostgreSQL","от ,100 000, до ,150 000, ,руб., на руки"
"Linux,Python,Docker,Git,Бэкэнд","от ,150 000, до ,200 000, ,руб., на руки"
"iOS,Objective-C,Apple Swift,Cocoa Touch,Auto Layout,Swift UI,Cocoapods,REST API,NoSQL,SQL,Node.js,Python,Adobe Photoshop,MVVM,Design Patterns,Linux,Git,CI/CD","до ,140 000, ,руб., до вычета налогов"
, з/п не указана
"Python,Django Framework,PostgreSQL,SQL,CSS","от ,60 000, до ,150 000, ,руб., до вычета налогов"
"Python,asyncio,pytest/unittest,PostgreSQL,aiohttp",з/п не указана
"Git,Python,SQL,JUnit,Java",з/п не указана
,з/п не указана
"C++,Python,Linux,KVM",з/п не указана
"Английский — B1 — Средний,Разработка ПО,Python,Go",з/п не указана
"HTTP,Web Application Development,SCALA,C#,Python,Java","от ,150 000, ,руб., на руки"
"Python,Django Framework,JavaScript,Node.js,HTML5","от ,150 000, до ,180 000, ,руб., на руки"
"JavaScript,PostgreSQL,Git,Python,Node.js",з/п не указана
"Python,Django Framework,Agile Project Management,Teamleading","до ,250 000, ,руб., до вычета налогов"
"Python,Django Framework,PostgreSQL,Linux,Git,HTML,CSS",з/п не указана
,"от ,120 000, ,руб., на руки"
"Английский — B1 — Средний,SQL,Python,Java,Функциональное тестирование,Регресионное тестирование,C#,Postman,Jmeter,PHP,Автоматизированное тестирование,Нагрузочное тестирование,Git",з/п не указана
"JavaScript,Git,React","от ,150 000, ,руб., на руки"
"Python,PostgreSQL,Django Framework,Redis,RabbitMQ,Асинхронное программирование","от ,180 000, до ,200 000, ,руб., на руки"
"Python,Django Framework,Nginx,Git,PostgreSQL","от ,180 000, ,руб., на руки"
,з/п не указана
"Английский — C1 — Продвинутый,Node.js,Python,Golang,JavaScript,React","от ,280 000, до ,320 000, ,руб., на руки"
"Python,Django Framework,Git,SQL","до ,200 000, ,руб., на руки"
"Perl,Ruby,Python,Elixir,InfluxDB,Kafka,Grafana,PHP","от ,90 000, ,руб., на руки"
"HTML5,JavaScript,CSS,React,Redux,MobX,webpack,babel,Nginx,docker,MongoDB","от ,130 000, до ,180 000, ,руб., на руки"
,з/п не указана
"Django Framework,Python,PostgreSQL,Git","от ,120 000, до ,160 000, ,руб., на руки"
"Python,MongoDB,iOS,Английский язык,Креативность","от ,170 000, до ,230 000, ,руб., на руки"
"PHP7,PostgreSQL,Laravel,Node.js,Redis","от ,150 000, до ,230 000, ,руб., до вычета налогов"
"Python,Data Mining,MATLAB,SQL,C++",з/п не указана
"Английский — B1 — Средний,Python,PostgreSQL,Linux,Git,Node.js,Разработка ПО",з/п не указана
, з/п не указана
,"от ,150 000, ,руб., на руки"
"Git,Python,Django Framework,REST,API",з/п не указана
"Python,Django Framework,AngularJS","от ,130 000, ,руб., до вычета налогов"
,з/п не указана
"Git,Python,SQL,PHP,Java,Node.js,Redis,Ruby,JavaScript,PostgreSQL,MS SQL,Cистемы управления базами данных","до ,100 000, ,руб., на руки"
,з/п не указана
Английский — B2 — Средне-продвинутый,"от ,120 000, до ,180 000, ,руб., на руки"
"bitbucket,Atlassian Jira,Java,Linux,SQL,Git,CoAP,Node.js,Python,iot,АСУ ТП,MQTT,IOT,TCP/IP,PostgreSQL,REST",з/п не указана
"Python,Django Framework,Git,Linux,REST",з/п не указана
"Python,MongoDB,Linux,Git,SQL,Контроль качества,Проведение тестирований",з/п не указана
"Rust,C,C++","от ,2 000, ,EUR, на руки"
"Python,JavaScript,Django Framework,AngularJS,Git","от ,1 700, до ,2 000, ,USD, на руки"
,до 100 000 руб. на руки
"jQuery,Веб-программирование,PostgreSQL,JavaScript,Django Framework,Python","от ,150 000, до ,180 000, ,руб., на руки"
"Python,Django Framework,Git,Nginx,Linux,PostgreSQL,bitbucket","от ,100 000, ,руб., на руки"
"Golang,Redis,Микросервисы,HighLoad","от ,270 000, до ,330 000, ,руб., на руки"
"Python,Django Framework,AngularJS,CSS,JavaScript,MySQL,Linux,Git","от ,60 000, до ,120 000, ,руб., до вычета налогов"
"Python,Django Framework,PostgreSQL,MongoDB,Redis,RabbitMQ,Kafka,Docker,Tornado,aiohttp,Git,Asyncio",з/п не указана
"react,react native,angular,Git,jQuery,cordova,HTML5,JavaScript,typescript","от ,180 000, ,руб., на руки"
"Git,Python,Django Framework,REST,API,GraphQL",з/п не указана
"Python,Django Framework,Git,PostgreSQL,ООП","от ,90 000, до ,120 000, ,руб., на руки"
, з/п не указана
"Python,JavaScript,Bootstrap,СУБД,Автоматизация,PostgreSQL,MongoDB,HTML5,CSS3,Node.js",з/п не указана
"MySQL,jQuery,JavaScript,HTML,CSS","от ,25 000, до ,45 000, ,руб., на руки"
"Python,Django Framework,Linux,SQL,PostgreSQL",з/п не указана
"MongoDB,Python,Git,PostgreSQL,Linux",з/п не указана
,"до ,170 000, ,руб., до вычета налогов"
, з/п не указана
,от 90 000 руб. на руки
"С#,.NET Framework,Linux,MS Visual Studio,management studio,Git,Atlassian Jira,Redmine,PostgreSQL,Terrasoft CRM","от ,100 000, до ,150 000, ,руб., на руки"
"Java,SCALA","от ,140 000, до ,200 000, ,руб., на руки"
"Английский — B1 — Средний,Python,SQL,MySQL,JavaScript,PHP,UI",з/п не указана
,з/п не указана
"Python,Django Framework,PostgreSQL,MySQL,Linux",з/п не указана
"Python,JavaScript,Node.js","от ,55 000, до ,70 000, ,руб., на руки"
"Python,JavaScript",з/п не указана
"Английский — A1 — Начальный,Python,Django Framework,Git,PostgreSQL,Redis",з/п не указана
"Английский — A1 — Начальный,Python,PostgreSQL,SQL,MySQL,Scrum",з/п не указана
,з/п не указана
"Python,SQL",з/п не указана
,з/п не указана
, з/п не указана
"MySQL,Python,Django Framework",з/п не указана
"Git,Python,PostgreSQL,SQL","до ,250 000, ,руб., на руки"
"Python,Django Framework,PostgreSQL,MongoDB,Redis,RabbitMQ,Kafka,Docker,Tornado,aiohttp,Git,Asyncio",з/п не указана
"Тестирование,Функциональное тестирование,REST,SOAP,XML,JSON API,Тестирование пользовательского интерфейса,Selenium IDE,MySQL,Git,Linux,JavaScript,Python,C++,Java,SQL",з/п не указана
"Git,PostgreSQL,Многозадачность,Ruby,Python,Nginx,Agile Project Management,Веб-программирование",з/п не указана
,з/п не указана
"Python,docker,SOA,tornado,C++,Asyncio,MongoDB,ASIO","от ,160 000, до ,200 000, ,руб., на руки"
"Английский — A1 — Начальный,Python,Django Framework,Работа в команде,React.js,Fullstack,React Python,Веб-программирование,HTML,Ответственность,django,Middle","от ,120 000, ,руб., на руки"
"Python,Django Framework,Git,PostgreSQL,Atlassian Jira","от ,140 000, ,руб., на руки"
"Python,Git,ООП,Unit Testing,Спортивные мероприятия","от ,180 000, до ,200 000, ,руб., до вычета налогов"
"Python,Django,Django REST Framework,PyTest,Git,Postgres,Linux,CI,Работа в команде","от ,100 000, ,руб., на руки"
"Python,Django Framework,JavaScript,AngularJS,PostgreSQL,Django,JS,HTML,jQuery","от ,150 000, до ,200 000, ,руб., на руки"
,з/п не указана
"Python,docker,SOA,tornado,C++,Counsul,Asyncio,MongoDB,ASIO","от ,180 000, до ,230 000, ,руб., на руки"
"Python,Django Framework,ML","от ,100 000, до ,180 000, ,руб., на руки"
"Nginx,PostgreSQL,JavaScript,Node.js,Python,docker,devops,Git,jQuery,CSS,CSS3,MongoDB,Bootstrap,Работа в команде,ООП,Ubuntu,Linux,Управление проектами,Apache HTTP Server","от ,220 000, ,руб., до вычета налогов"
"MySQL,Redis,Python,PHP,laravel,PostgreSQL,Nginx,Apache HTTP Server,Git,docker,RabbitMQ,web разработка","от ,150 000, ,руб., на руки"
"Python,SQL,PostgreSQL,C#","от ,1 500, ,EUR, на руки"
,от 140 000 до 200 000 руб. на руки
, з/п не указана
"Java,Python,Node.js,MySQL,API,Git,goLang",з/п не указана
